objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,,,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
coll014,ExaminingMassIncarcerationHowInstitutionsCanDiversifyWhoTheyRepresentandEnlargeTheir Community,,,Examining Mass Incarceration How Institutions Can Diversify Who They Represent and Enlarge Their Community,Quinton Bradford,04/01/2026,Poster on mass incarceration and its impact across the world. Shows where museums and other public history institutions can gain an audience and represent all people.,"Incarceration, Incarceration Issues.",UNCG Public History House,,,,,,image/png,English,Public Domain,
coll015,Outline697,,,Historiography Outline,Quinton Bradford,02/18/2026,Historiography outline on sexual violence against enslaved men and women. ,"Slavery, Sexual Violence Victims",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll016,BlackBusinessesMainLabel,,,Black Businesses in Greensboro ,Quinton BradfordQuinton Bradfor,01/19/2026,"Introduction label for black businesses in Greensboro, for the Greensboro History Museum.","Businesses, Businesses-Historiography",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll017,LonnieAtkinsonFinalTranscript,,,Lonnie Atkinson Oral History,Quinton Bradford,12/02/2025,"Oral history transcript with Lonnie Atkinson, detailing his life and progress after incarceration.","Incarceration, Incarceration Issues.",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll018,ThePrisonExperience,,,The Prison Experience,Quinton Bradford,12/01/2025,"Podcast episode script detailing the experience of incarceration, focused on presenting oral histories to display first-hand accounts. ","Incarceration, Incarceration Issues.",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll019,OriginsPodcast,,,Origins of Incarceration,Quinton Bradford,12/01/2025,"Podcast episode script focusing on the roots or origins of mass incarceration in slavery, chain gangs, and more. Utilizes primary and secondary sources to show how incarceration reinvented itself.","Incarceration, Incarceration Issues.",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll020,RehabilitationCommunityandProgress,,,"Rehabilitation, Community, and Progress",Quinton Bradford,12/01/2025,"Podcast episode script detailing how communities can move past mass incarceration and become self-sufficent, building community does in fact show results and those that are much more promising than the current system.","Incarceration, Incarceration Issues.",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll021,OmegaWilsonandBrendaWilsonOralHistory,,,Omega and Brenda Wilson Oral History Transcript,Quinton Bradford,02/15/2025,"Oral history with Omega Wilson and his wife, Brenda, detailing their lives as well as their growth of the West End Revitilization Association to help combat against environmental issues. ","Environmental Action Groups, Black History",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll022,MaterialityPaper,,,"African American Material Culture and Space in Greensboro, North Carolina",Quinton Bradford,02/26/2025,Essay focused on material culture during the Civil Rights Movement in Greensboro. Utilizing stools from the Woolworth sit-ins to display how space played an active role. ,"Material Culture, Civil Rights Movements--North Carolina--Greensboro",Digitally preserved,,,,,,application/pdf,English,Public Domain,
coll023,AncientNationalismFinalDraft,,,Ancient Nationalism: How Roman Leaders Used Material Culture and the Past to Consolidate and Hold Power,Quinton Bradford,05/05/2025,"Essay displaying how Roman leaders used the reign of past emperors and the material culture that goes along with it to usurp power through the use of nostalgia and the ""better Rome."" ",Rome--Antiquities ,Digitally preserved,,,,,,application/pdf,English,Public Domain,
